Region,Transport-quanity,Population,Transport-quanity-rate
Abai Region,33.0,610189,0.05408160422426494
Akmola Region,3755.0,787971,4.765403802931834
Aktobe Region,3405.0,928185,3.6684497163819714
Almaty Region,6922.0,1505984,4.596330372699843
Atyrau Region,4997.0,693040,7.210262033937435
West Kazakhstan Region,3820.0,688091,5.551591286617613
Jambyl Region,4768.0,1217955,3.9147587554548404
Jetisu Region,61.0,698675,0.08730811893942104
Karaganda Region,5668.0,1134753,4.994919599243183
Kostanay Region,3649.0,832110,4.38523752869212
Kyzylorda Region,4358.0,833531,5.228359833047601
Mangystau Region,4397.0,766956,5.733053786657905
Pavlodar Region,3948.0,754903,5.229810982338128
North Kazakhstan Region,3982.0,534024,7.456593711144069
Turkistan Region,2998.0,2119063,1.4147762478038644
Ulytau Region,2461.0,221395,11.115878859052824
East Kazakhstan Region,29.0,730172,0.03971666949705001
Astana city,5436.0,1354435,4.013481636254231
Almaty city,6826.0,2161695,3.157707262125323
Shymkent city,11792.0,1191877,9.89363835362206
The Republic Of Kazakhstan,,19765004,
