Region,Value,Year
Abai Region,33,2022
Akmola Region,3755,2022
Aktobe Region,3405,2022
Almaty Region,6922,2022
Atyrau Region,4997,2022
West Kazakhstan Region,3820,2022
Jambyl Region,4768,2022
Jetisu Region,61,2022
Karaganda Region,5668,2022
Kostanay Region,3649,2022
Kyzylorda Region,4358,2022
Mangystau Region,4397,2022
Pavlodar Region,3948,2022
North Kazakhstan Region,3982,2022
Turkistan Region,2998,2022
Ulytau Region,2461,2022
East Kazakhstan Region,29,2022
Astana city,5436,2022
Almaty city,6826,2022
Shymkent city,11792,2022
